Release Date,Actual,Forecast
"Jan 04, 2019 (Dec)",312000,178000
"Feb 01, 2019 (Jan)",304000,165000
"Mar 08, 2019 (Feb)",20000,181000
"Apr 05, 2019 (Mar)",196000,175000
"May 03, 2019 (Apr)",263000,181000
"Jun 07, 2019 (May)",75000,185000
"Jul 05, 2019 (Jun)",224000,160000
"Aug 02, 2019 (Jul)",164000,164000
"Sep 06, 2019 (Aug)",130000,160000
"Oct 04, 2019 (Sep)",136000,140000
"Nov 01, 2019 (Oct)",128000,89000
"Dec 06, 2019 (Nov)",266000,186000
"Jan 10, 2020 (Dec)",145000,164000
"Feb 07, 2020 (Jan)",225000,160000
"Mar 06, 2020 (Feb)",273000,175000
"Apr 03, 2020 (Mar)",-701000,-100000
